year,month,day,date,dummy,date2
2020,1,4,1/4/2020,1,2020-01-04
2020,1,9,1/9/2020,1,2020-01-09
2020,1,14,1/14/2020,1,2020-01-14
2020,1,19,1/19/2020,1,2020-01-19
2020,1,24,1/24/2020,1,2020-01-24
2020,1,29,1/29/2020,1,2020-01-29
2020,2,3,2/3/2020,1,2020-02-03
2020,2,8,2/8/2020,1,2020-02-08
2020,2,18,2/18/2020,1,2020-02-18
2020,2,23,2/23/2020,1,2020-02-23
2020,3,4,3/4/2020,1,2020-03-04
2020,3,9,3/9/2020,1,2020-03-09
2020,3,14,3/14/2020,1,2020-03-14
2020,3,19,3/19/2020,1,2020-03-19
2020,3,24,3/24/2020,1,2020-03-24
2020,3,29,3/29/2020,1,2020-03-29
2020,4,3,4/3/2020,1,2020-04-03
2020,4,8,4/8/2020,1,2020-04-08
2020,4,13,4/13/2020,1,2020-04-13
2020,4,18,4/18/2020,1,2020-04-18
2020,4,23,4/23/2020,1,2020-04-23
2020,4,28,4/28/2020,1,2020-04-28
2020,5,3,5/3/2020,1,2020-05-03
2020,5,8,5/8/2020,1,2020-05-08
2020,5,13,5/13/2020,1,2020-05-13
2020,5,18,5/18/2020,1,2020-05-18
2020,5,23,5/23/2020,1,2020-05-23
2020,5,28,5/28/2020,1,2020-05-28
2020,6,2,6/2/2020,1,2020-06-02
2020,6,7,6/7/2020,1,2020-06-07
2020,6,12,6/12/2020,1,2020-06-12
2020,6,17,6/17/2020,1,2020-06-17
2020,6,22,6/22/2020,1,2020-06-22
2020,6,27,6/27/2020,1,2020-06-27
2020,7,2,7/2/2020,1,2020-07-02
2020,7,7,7/7/2020,1,2020-07-07
2020,7,12,7/12/2020,1,2020-07-12
2020,7,22,7/22/2020,1,2020-07-22
2020,7,27,7/27/2020,1,2020-07-27
2020,8,1,8/1/2020,1,2020-08-01
2020,8,6,8/6/2020,1,2020-08-06
2020,8,16,8/16/2020,1,2020-08-16
2020,9,10,9/10/2020,1,2020-09-10
2020,9,15,9/15/2020,1,2020-09-15
2020,9,20,9/20/2020,1,2020-09-20
2020,9,25,9/25/2020,1,2020-09-25
2020,10,5,10/5/2020,1,2020-10-05
2020,10,10,10/10/2020,1,2020-10-10
2020,10,15,10/15/2020,1,2020-10-15
2020,10,20,10/20/2020,1,2020-10-20
2020,10,25,10/25/2020,1,2020-10-25
2020,11,4,11/4/2020,1,2020-11-04
2020,11,9,11/9/2020,1,2020-11-09
2020,11,14,11/14/2020,1,2020-11-14
2020,11,19,11/19/2020,1,2020-11-19
2020,11,24,11/24/2020,1,2020-11-24
2020,11,29,11/29/2020,1,2020-11-29
2020,12,4,12/4/2020,1,2020-12-04
2020,12,14,12/14/2020,1,2020-12-14
2020,12,19,12/19/2020,1,2020-12-19
2021,1,3,1/3/2021,1,2021-01-03
2021,1,8,1/8/2021,1,2021-01-08
2021,1,13,1/13/2021,1,2021-01-13
2021,1,23,1/23/2021,1,2021-01-23
2021,1,28,1/28/2021,1,2021-01-28
2021,2,2,2/2/2021,1,2021-02-02
2021,2,7,2/7/2021,1,2021-02-07
2021,2,12,2/12/2021,1,2021-02-12
2021,2,17,2/17/2021,1,2021-02-17
2021,2,22,2/22/2021,1,2021-02-22
2021,2,27,2/27/2021,1,2021-02-27
2021,3,4,3/4/2021,1,2021-03-04
2021,3,9,3/9/2021,1,2021-03-09
2021,3,14,3/14/2021,1,2021-03-14
2021,3,19,3/19/2021,1,2021-03-19
2021,3,24,3/24/2021,1,2021-03-24
2021,3,29,3/29/2021,1,2021-03-29
2021,4,3,4/3/2021,1,2021-04-03
2021,4,8,4/8/2021,1,2021-04-08
2021,4,13,4/13/2021,1,2021-04-13
2021,4,23,4/23/2021,1,2021-04-23
2021,5,3,5/3/2021,1,2021-05-03
2021,5,8,5/8/2021,1,2021-05-08
2021,5,13,5/13/2021,1,2021-05-13
2021,5,18,5/18/2021,1,2021-05-18
2021,5,23,5/23/2021,1,2021-05-23
2021,5,28,5/28/2021,1,2021-05-28
2021,6,7,6/7/2021,1,2021-06-07
2021,6,12,6/12/2021,1,2021-06-12
2021,7,2,7/2/2021,1,2021-07-02
2021,7,12,7/12/2021,1,2021-07-12
2021,7,17,7/17/2021,1,2021-07-17
2021,7,22,7/22/2021,1,2021-07-22
2021,8,1,8/1/2021,1,2021-08-01
2021,8,6,8/6/2021,1,2021-08-06
2021,8,11,8/11/2021,1,2021-08-11
2021,8,15,8/15/2021,1,2021-08-15
2021,8,21,8/21/2021,1,2021-08-21
2021,8,26,8/26/2021,1,2021-08-26
