t,Blowout,Heater,Log Boom
1/1/2016,,,
5/17/2016 11:04,,,28222.85477
5/17/2016 11:54,,1866.123023,
5/17/2016 12:32,344946.0027,,
5/24/2016 9:40,,,109051.5749
5/24/2016 10:20,,577717.3572,
6/7/2016 11:22,,,448411.8842
6/7/2016 11:31,,,253.7463318
6/14/2016 10:17,,,10181.40504
6/14/2016 10:31,,2015.918198,
6/21/2016 13:04,,,1363.463623
6/21/2016 13:14,,,8314.542611
6/28/2016 12:57,,,4189.16344
6/28/2016 13:05,,,260.1262395
6/28/2016 13:40,,1040.504958,
7/5/2016 11:49,,,1822.768649
7/5/2016 12:24,,4356.381467,
7/12/2016 11:55,,2915.42452,
7/18/2016 13:10,,9733.78984,
7/26/2016 10:39,,,40.57927448
7/26/2016 11:41,,1457.71226,
8/2/2016 12:23,,289.5318144,
8/23/2016 12:07,,48382.03674,
8/23/2016 12:13,,416.2019832,
8/29/2016 12:31,,3303.938348,
9/6/2016 11:18,,31851.50752,
12/31/2016,,,
